Mr. Geoffrey Clifton-Brown,opp
Mr. Adrian Sanders,opp
Mr. Ben Chapman,opp
Mr. David Cameron,opp
Jonathan Edwards,opp
Robert Neill,gov
Sue Hayman,opp
Helen Whately,gov
Edward Miliband,opp
Kirsten Oswald,opp
Yasmin Qureshi,opp
Vernon Coaker,opp
Damian Green,gov
Tulip Siddiq,opp
Dr Thérèse Coffey,gov
Jeremy Corbyn,opp
Sir Eric Pickles,gov
Jeremy Corbyn,gov
Edward Miliband,opp
Mr. William Hague,opp
Charlie Elphicke,opp
John Barrett,opp
Gordon Marsden,opp
Lucy Allan,gov
Andrew Griffiths,gov
Mr. David Cameron,opp
Steve Baker,gov
Edward Miliband,opp
Dr. Ashok Kumar,gov
Harriet Harman,gov
